iter	Passed	Remaining
579	12450	9015
580	12466	8990
581	12483	8966
582	12500	8941
583	12524	8921
584	12549	8902
585	12566	8878
586	12583	8853
587	12600	8828
588	12617	8804
589	12633	8779
590	12650	8754
591	12667	8730
592	12684	8705
593	12700	8680
594	12717	8656
595	12734	8632
596	12750	8607
597	12767	8582
598	12784	8558
599	12801	8534
600	12817	8509
601	12834	8485
602	12853	8462
603	12870	8438
604	12889	8415
605	12906	8391
606	12922	8366
607	12938	8342
608	12955	8317
609	12972	8293
610	12988	8269
611	13005	8245
612	13022	8221
613	13039	8197
614	13056	8173
615	13072	8149
616	13090	8125
617	13106	8101
618	13122	8077
619	13139	8053
620	13155	8029
621	13171	8004
622	13188	7980
623	13205	7957
624	13222	7933
625	13240	7910
626	13257	7886
627	13273	7862
628	13290	7838
629	13307	7815
630	13323	7791
631	13342	7768
632	13359	7745
633	13376	7722
634	13393	7698
635	13409	7674
636	13425	7650
637	13442	7627
638	13459	7603
639	13476	7580
640	13494	7557
641	13511	7534
642	13527	7510
643	13554	7492
644	13578	7473
645	13594	7449
646	13612	7426
647	13628	7403
648	13644	7379
649	13660	7355
650	13677	7332
651	13694	7309
652	13710	7285
653	13728	7263
654	13745	7240
655	13762	7216
656	13779	7193
657	13795	7170
658	13811	7146
659	13828	7123
660	13846	7101
661	13865	7079
662	13884	7057
663	13901	7034
664	13918	7011
665	13935	6988
666	13952	6965
667	13970	6943
668	13986	6919
669	14003	6897
670	14020	6874
671	14036	6851
672	14053	6828
673	14070	6805
674	14086	6782
675	14104	6759
676	14120	6736
677	14136	6713
678	14153	6691
679	14171	6669
680	14188	6646
681	14204	6623
682	14221	6600
683	14239	6578
684	14255	6555
685	14272	6532
686	14290	6510
687	14308	6488
688	14326	6466
689	14343	6444
690	14360	6421
691	14377	6399
692	14394	6376
693	14411	6354
694	14428	6331
695	14445	6309
696	14461	6286
697	14479	6264
698	14496	6242
699	14513	6220
700	14530	6197
701	14548	6175
702	14575	6157
703	14601	6139
704	14618	6116
705	14635	6094
706	14652	6072
707	14669	6049
708	14686	6027
709	14702	6005
710	14720	5983
711	14737	5961
712	14753	5938
713	14770	5916
714	14788	5894
715	14804	5872
716	14821	5850
717	14838	5827
718	14857	5806
719	14878	5785
720	14894	5763
721	14912	5741
722	14929	5719
723	14946	5697
724	14963	5675
725	14980	5653
726	14997	5631
727	15013	5609
728	15030	5587
729	15047	5565
730	15064	5543
731	15080	5521
732	15098	5499
733	15114	5477
734	15131	5455
735	15149	5433
736	15166	5412
737	15182	5390
738	15199	5368
739	15216	5346
740	15233	5324
741	15250	5302
742	15267	5281
743	15283	5258
744	15301	5237
745	15318	5215
746	15335	5193
747	15352	5172
748	15369	5150
749	15386	5128
750	15403	5107
751	15420	5085
752	15437	5063
753	15455	5042
754	15472	5020
755	15488	4998
756	15504	4977
757	15520	4955
758	15537	4933
759	15553	4911
760	15569	4889
761	15592	4870
762	15619	4851
763	15636	4830
764	15653	4808
765	15669	4786
766	15686	4765
767	15703	4743
768	15719	4721
769	15736	4700
770	15753	4679
771	15770	4657
772	15787	4636
773	15803	4614
774	15820	4592
775	15836	4571
776	15855	4550
777	15873	4529
778	15890	4508
779	15907	4486
780	15923	4465
781	15940	4443
782	15957	4422
783	15974	4401
784	15991	4379
785	16007	4358
786	16023	4336
787	16040	4315
788	16057	4294
789	16074	4272
790	16091	4251
791	16108	4230
792	16125	4209
793	16142	4188
794	16158	4166
795	16174	4145
796	16190	4123
797	16207	4102
798	16224	4081
799	16240	4060
800	16257	4039
801	16275	4018
802	16292	3996
803	16308	3975
804	16325	3954
805	16342	3933
806	16359	3912
807	16375	3891
808	16392	3870
809	16408	3849
810	16426	3828
811	16443	3807
812	16460	3786
813	16477	3765
814	16494	3744
815	16511	3723
816	16527	3702
817	16544	3681
818	16560	3659
819	16577	3638
820	16594	3618
821	16628	3600
822	16645	3579
823	16662	3559
824	16699	3542
825	16732	3524
826	16768	3507
827	16799	3489
828	16823	3470
829	16865	3454
830	16909	3438
831	16934	3419
832	16978	3403
833	17027	3389
834	17077	3374
835	17125	3359
836	17151	3340
837	17190	3323
838	17238	3308
839	17286	3292
840	17335	3277
841	17386	3262
842	17435	3247
843	17485	3231
844	17535	3216
845	17588	3201
846	17636	3185
847	17686	3170
848	17735	3154
849	17784	3138
850	17833	3122
851	17885	3106
852	17933	3090
853	17985	3074
854	18034	3058
855	18089	3043
856	18128	3024
857	18174	3007
858	18205	2988
859	18236	2968
860	18283	2951
861	18331	2934
862	18368	2915
863	18400	2896
864	18447	2879
865	18502	2862
866	18550	2845
867	18590	2827
868	18617	2806
869	18649	2786
870	18694	2768
871	18740	2750
872	18778	2731
873	18828	2714
874	18880	2697
875	18927	2679
876	18975	2661
877	19025	2643
878	19072	2625
879	19119	2607
880	19167	2589
881	19217	2571
882	19263	2552
883	19310	2533
884	19357	2515
885	19400	2496
886	19443	2477
887	19486	2457
888	19529	2438
889	19574	2419
890	19615	2399
891	19658	2380
892	19707	2361
893	19758	2342
894	19804	2323
895	19850	2304
896	19894	2284
897	19937	2264
898	19979	2244
899	20023	2224
900	20066	2204
901	20111	2185
902	20162	2165
903	20206	2145
904	20256	2126
905	20307	2106
906	20348	2086
907	20394	2066
908	20426	2044
909	20443	2021
910	20460	1998
911	20477	1975
912	20494	1952
913	20510	1929
914	20528	1907
915	20545	1884
916	20561	1861
917	20579	1838
918	20595	1815
919	20612	1792
920	20628	1769
921	20645	1746
922	20662	1723
923	20681	1701
924	20698	1678
925	20715	1655
926	20731	1632
927	20749	1609
928	20765	1587
929	20782	1564
930	20799	1541
931	20833	1520
932	20853	1497
933	20871	1474
934	20888	1452
935	20905	1429
936	20923	1406
937	20940	1384
938	20956	1361
939	20973	1338
940	20990	1316
941	21007	1293
942	21024	1270
943	21041	1248
944	21057	1225
945	21074	1202
946	21091	1180
947	21108	1157
948	21125	1135
949	21142	1112
950	21158	1090
951	21175	1067
952	21192	1045
953	21209	1022
954	21225	1000
955	21242	977
956	21259	955
957	21276	932
958	21292	910
959	21308	887
960	21326	865
961	21342	843
962	21359	820
963	21376	798
964	21393	775
965	21411	753
966	21428	731
967	21444	708
968	21461	686
969	21478	664
970	21497	642
971	21514	619
972	21530	597
973	21547	575
974	21564	552
975	21580	530
976	21598	508
977	21614	486
978	21631	463
979	21647	441
980	21664	419
981	21682	397
982	21698	375
983	21715	353
984	21732	330
985	21750	308
986	21767	286
987	21784	264
988	21801	242
989	21818	220
990	21855	198
991	21876	176
992	21893	154
993	21911	132
994	21929	110
995	21945	88
996	21962	66
997	21979	44
998	21995	22
999	22012	0
