iter	Logloss
0	0.4826769727
1	0.3288425856
2	0.2313079522
3	0.1643776347
4	0.1196334547
5	0.0886947215
6	0.06813452834
7	0.0534204874
8	0.04300889754
9	0.03566607107
10	0.029931232
11	0.02556489449
12	0.02189671676
13	0.01934452479
14	0.017340488
15	0.01604170729
16	0.01482398447
17	0.01396600227
18	0.01322199593
19	0.01270935585
20	0.01219721058
21	0.01184220058
22	0.0114135962
23	0.01115877357
24	0.01094613415
25	0.01072188935
26	0.01054657243
27	0.01039460946
28	0.01026506146
29	0.01014463477
30	0.010055928
31	0.009935359179
32	0.009866673006
33	0.009805948002
34	0.009753637167
35	0.009674430979
36	0.009565897135
37	0.009411231755
38	0.009363427523
39	0.009321129825
40	0.009228010732
41	0.009212308868
42	0.009155148313
43	0.009031533973
44	0.008858091081
45	0.008832223662
46	0.008789130556
47	0.008689944528
48	0.008655234044
49	0.008557810036
50	0.008444209543
51	0.00835565483
52	0.008280895342
53	0.008211050085
54	0.008124279723
55	0.008031372952
56	0.007965372167
57	0.007920302948
58	0.007854324139
59	0.007808677505
60	0.007745405352
61	0.007682568122
62	0.007655741534
63	0.007625065513
64	0.00759671971
65	0.007542074048
66	0.007516961274
67	0.00745240704
68	0.007423335658
69	0.007372764158
70	0.007349088364
71	0.007320842165
72	0.007272560121
73	0.007253147771
74	0.007203018282
75	0.007183931681
76	0.00715443158
77	0.007125592015
78	0.007102829487
79	0.00706956006
80	0.007048904619
81	0.007038077996
82	0.006992454047
83	0.006975243779
84	0.006938545484
85	0.00691297138
86	0.006884142981
87	0.006864786458
88	0.006836868134
89	0.006805676196
90	0.006795949108
91	0.006754263563
92	0.00672859535
93	0.006723607036
94	0.006696903092
95	0.006666515778
96	0.006642911585
97	0.006616554834
98	0.006599631147
99	0.006595423354
100	0.006569879557
101	0.006538237632
102	0.0065054586
103	0.006480946813
104	0.00647184127
105	0.00645653711
106	0.006451413038
107	0.006423659538
108	0.006409178434
109	0.006403948733
110	0.006395533146
111	0.006371270013
112	0.006346438326
113	0.006319244518
114	0.006294115794
115	0.006286979807
116	0.006260644501
117	0.006250016553
118	0.006222464387
119	0.006217920034
120	0.006196736093
121	0.006180419596
